SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-11-2018,Single Family Residential,7629 199th St SW,Lynnwood,WA,98036,823500,4,3.0,Edmonds,3295,8495,2006,,250,,Sold,,,https://www.redfin.com/WA/Lynnwood/7629-199th-St-SW-98036/home/12490192,NWMLS,1262119,N,Y,47.8195487,-122.3368327
PAST SALE,May-11-2018,Single Family Residential,15509 8th Ave W,Lynnwood,WA,98087,746000,6,4.0,Martha Lake,3025,4356,2016,,247,61,Sold,,,https://www.redfin.com/WA/Lynnwood/15509-8th-Ave-W-98087/home/104218448,NWMLS,1270265,N,Y,47.8574739,-122.2444475
PAST SALE,,Single Family Residential,20702 Crawford Rd,Lynnwood,WA,98036,425000,2,1.0,,1123,20038,1983,,378,,,,,https://www.redfin.com/WA/Lynnwood/20702-Crawford-Rd-98036/home/2649620,,,N,Y,47.8104289,-122.2520842
PAST SALE,May-11-2018,Single Family Residential,13015 28th Ave W #19,Lynnwood,WA,98087,507000,3,2.5,Mukilteo,2545,2406,2007,,199,50,Sold,,,https://www.redfin.com/WA/Lynnwood/13015-28th-Ave-W-98087/unit-19/home/12334428,NWMLS,1274177,N,Y,47.8797777,-122.2714765
PAST SALE,May-11-2018,Single Family Residential,20807 74TH Ave W,Edmonds,WA,98026,395000,3,1.0,Edmonds,1108,6098,1954,,356,,Sold,,,https://www.redfin.com/WA/Edmonds/20807-74th-Ave-W-98026/home/2658408,NWMLS,1292721,N,Y,47.810077,-122.33272
PAST SALE,May-11-2018,Single Family Residential,5315 173rd Pl SW,Lynnwood,WA,98037,525000,3,2.0,Lynnwood,1600,8712,1965,,328,,Sold,,,https://www.redfin.com/WA/Lynnwood/5315-173rd-Pl-SW-98037/home/2750379,NWMLS,1272848,N,Y,47.8417246,-122.3055153
PAST SALE,May-11-2018,Single Family Residential,1224 150th St SW #16,Lynnwood,WA,98087,533200,3,2.5,Martha Lake,1951,4203,2018,,273,84,Sold,,,https://www.redfin.com/WA/Lynnwood/1224-150th-St-SW-98087/unit-16/home/145120943,NWMLS,1256827,N,Y,47.861813731521615,-122.25043757813694
PAST SALE,May-11-2018,Single Family Residential,3525 Serene Way,Lynnwood,WA,98087,485000,3,1.0,Lake Serene,1208,20473,1955,,401,,Sold,,,https://www.redfin.com/WA/Lynnwood/3525-Serene-Way-98087/home/2709185,NWMLS,1267371,N,Y,47.8711783,-122.281732
PAST SALE,May-11-2018,Single Family Residential,2503 153rd St SW,Lynnwood,WA,98087,501000,4,2.5,Lynnwood,2082,3714,2011,,241,56,Sold,,,https://www.redfin.com/WA/Lynnwood/2503-153rd-St-SW-98087/home/40602677,NWMLS,1272369,N,Y,47.8595545,-122.2671252
PAST SALE,,Other,2005 204th St SW,Lynnwood,WA,98036,272200,,,,,56192,,,,,,,,https://www.redfin.com/WA/Lynnwood/2005-204th-St-SW-98036/home/2576970,,,N,Y,47.8137325,-122.260441
