SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-23-2019,Single Family Residential,1404 14th Pl NE,Issaquah,WA,98029,1375000,4,3.5,Issaquah Highlands,3720,5206,2016,,370,76,Sold,,,https://www.redfin.com/WA/Issaquah/1404-14th-Pl-NE-98029/home/69356639,NWMLS,1502507,N,Y,47.5401368,-122.0112432
PAST SALE,September-23-2019,Single Family Residential,4500 192nd Ave SE,Issaquah,WA,98027,1299000,4,2.5,South Lake Sammamish,2530,7661,1978,,513,35,Sold,,,https://www.redfin.com/WA/Issaquah/4500-192nd-Ave-SE-98027/home/326731,NWMLS,1667965,N,Y,47.5639487,-122.0844744
PAST SALE,September-23-2019,Single Family Residential,4130 Issaquah-Pine Lake (Lot 2) Rd SE,Sammamish,WA,98029,1269133,4,3.0,Sammamish,3255,4570,2019,,390,143,Sold,,,https://www.redfin.com/WA/Issaquah/4130-Issaquah-Pine-Lake-Rd-SE-98029/home/145708705,NWMLS,1458236,N,Y,47.570975,-122.0224142
PAST SALE,September-24-2019,Single Family Residential,22365 SE 39th Pl,Sammamish,WA,98075,1499000,5,6.0,Sammamish,4517,10204,2019,,332,210,Sold,,,https://www.redfin.com/WA/Sammamish/22365-SE-39th-Pl-98075/home/145708738,NWMLS,1285663,N,Y,47.5742548,-122.0415815
PAST SALE,September-25-2019,Single Family Residential,4249 185th Pl SE,Issaquah,WA,98027,1450000,4,2.5,Issaquah,3830,9981,1987,,379,25,Sold,,,https://www.redfin.com/WA/Issaquah/4249-185th-Pl-SE-98027/home/325916,NWMLS,1494125,N,Y,47.5685592,-122.0937076
PAST SALE,September-25-2019,Single Family Residential,2433 NE Daphne St,Issaquah,WA,98029,1288000,4,3.5,Issaquah Highlands,3490,7546,2006,,369,78,Sold,,,https://www.redfin.com/WA/Issaquah/2433-NE-Daphne-St-98029/home/8188413,NWMLS,1502034,N,Y,47.5392618,-121.9972
PAST SALE,September-25-2019,Single Family Residential,24817 SE 38th St,Sammamish,WA,98029,850000,4,2.5,Klahanie,2220,4805,1989,,383,50,Sold,,,https://www.redfin.com/WA/Issaquah/24817-SE-38th-St-98029/home/438628,NWMLS,1511211,N,Y,47.573885,-122.0107013
PAST SALE,September-26-2019,Single Family Residential,2540 Longmire Ct NE,Issaquah,WA,98029,945000,4,2.5,Issaquah Highlands,2350,3866,2005,,402,78,Sold,,,https://www.redfin.com/WA/Issaquah/2540-Longmire-Ct-NE-98029/home/2092219,NWMLS,1505156,N,Y,47.5497871,-121.9961354
PAST SALE,September-26-2019,Single Family Residential,4601 192nd Ave SE,Issaquah,WA,98027,1050000,4,2.5,South Lake Sammamish,2510,8302,1978,,418,,Sold,,,https://www.redfin.com/WA/Issaquah/4601-192nd-Ave-SE-98027/home/326467,NWMLS,1509757,N,Y,47.5620432,-122.0842869
PAST SALE,September-27-2019,Single Family Residential,2801 NE Mulberry St,Issaquah,WA,98029,800000,3,2.5,Issaquah Highlands,1920,4095,2005,,417,78,Sold,,,https://www.redfin.com/WA/Issaquah/2801-NE-Mulberry-St-98029/home/2084790,NWMLS,1484388,N,Y,47.552154,-121.9957945
PAST SALE,September-27-2019,Single Family Residential,915 Bear Ridge Ct NW,Issaquah,WA,98027,875000,4,2.5,Talus,2777,6046,2005,,315,85,Sold,,,https://www.redfin.com/WA/Issaquah/915-Bear-Ridge-Ct-NW-98027/home/2077339,NWMLS,1491738,N,Y,47.5407359,-122.0713229
PAST SALE,September-30-2019,Single Family Residential,22626 SE 47th Ct,Sammamish,WA,98075,1030000,3,2.5,Plateau,3260,10093,1988,,316,40,Sold,,,https://www.redfin.com/WA/Issaquah/22626-SE-47th-Ct-98075/home/267065,NWMLS,1473212,N,Y,47.5609186,-122.0380794
PAST SALE,September-30-2019,Single Family Residential,24222 SE 38th Pl,Sammamish,WA,98029,659000,3,2.5,Klahanie,1690,4807,1988,,390,50,Sold,,,https://www.redfin.com/WA/Issaquah/24222-SE-38th-Pl-98029/home/440073,NWMLS,1491731,N,Y,47.5750534,-122.0159968
PAST SALE,September-30-2019,Single Family Residential,15028 245th Ave SE,Issaquah,WA,98027,730000,3,2.5,Mirrormont,2510,40205,1982,,291,,Sold,,,https://www.redfin.com/WA/Issaquah/15028-245th-Ave-SE-98027/home/424758,NWMLS,1498117,N,Y,47.4670082,-122.0124343
PAST SALE,September-30-2019,Single Family Residential,514 Newport Way NW #4,Issaquah,WA,98027,670000,4,3.0,Downtown Issaquah,1741,2969,2000,,385,207,Sold,,,https://www.redfin.com/WA/Issaquah/514-Newport-Way-NW-98027/unit-4/home/29925,NWMLS,1506300,N,Y,47.5351868,-122.0455825
PAST SALE,October-1-2019,Single Family Residential,1942 14th Ct NE,Issaquah,WA,98029,730000,3,2.5,Issaquah Highlands,2150,3780,2000,,340,444,Sold,,,https://www.redfin.com/WA/Issaquah/1942-14th-Ct-NE-98029/home/467806,NWMLS,1448631,N,Y,47.5482679,-122.0117753
PAST SALE,October-1-2019,Single Family Residential,24707 SE 146 St,Issaquah,WA,98027,785000,3,3.5,Mirrormont,3822,42861,1975,,205,,Sold,,,https://www.redfin.com/WA/Issaquah/24707-SE-146th-St-98027/home/424395,NWMLS,1486880,N,Y,47.4719126,-122.0106189
PAST SALE,October-2-2019,Single Family Residential,4315 243rd Ave SE,Sammamish,WA,98029,828950,4,2.5,Klahanie,2070,6858,1987,,400,50,Sold,,,https://www.redfin.com/WA/Issaquah/4315-243rd-Ave-SE-98029/home/437641,NWMLS,1501192,N,Y,47.5676948,-122.0172862
PAST SALE,October-3-2019,Single Family Residential,4180 244th Pl SE #4180,Sammamish,WA,98029,540000,3,1.5,Klahanie,1150,6315,1988,,470,110,Sold,,,https://www.redfin.com/WA/Issaquah/4180-244th-Pl-SE-98029/unit-4180/home/168930525,NWMLS,1515527,N,Y,47.5704433,-122.0163321
PAST SALE,October-3-2019,Single Family Residential,732 Summerhill Ridge Dr NW,Issaquah,WA,98027,1175000,5,3.5,Talus,4860,6272,2006,,242,87,Sold,,,https://www.redfin.com/WA/Issaquah/732-Summerhill-Ridge-Dr-NW-98027/home/2115756,NWMLS,1510613,N,Y,47.5386238,-122.0728266
PAST SALE,October-3-2019,Single Family Residential,2052 NE Natalie Way,Issaquah,WA,98029,787000,3,2.0,Issaquah Highlands,1670,4049,2005,,471,140,Sold,,,https://www.redfin.com/WA/Issaquah/2052-NE-Natalie-Way-98029/home/2068808,NWMLS,1512784,N,Y,47.5543947,-122.0021241
PAST SALE,October-4-2019,Single Family Residential,475 SE Sycamore Ln,Issaquah,WA,98027,880000,3,2.5,Downtown Issaquah,2090,18621,1953,,421,,Sold,,,https://www.redfin.com/WA/Issaquah/475-SE-Sycamore-Ln-98027/home/420209,NWMLS,1514796,N,Y,47.5144628,-122.027405
PAST SALE,October-4-2019,Single Family Residential,955 NW Inneswood Pl,Issaquah,WA,98027,830000,4,2.5,Squak Mountain,2110,9628,1985,,393,7,Sold,,,https://www.redfin.com/WA/Issaquah/955-NW-Inneswood-Pl-98027/home/422032,NWMLS,1508071,N,Y,47.5389648,-122.0523804
PAST SALE,,Single Family Residential,16933 Issaquah-Hobart Rd SE,Issaquah,WA,98027,700000,4,2.0,,1600,212440,1929,,438,,,,,https://www.redfin.com/WA/Issaquah/16933-Issaquah-Hobart-Rd-SE-98027/home/424310,,,N,Y,47.4492999,-121.9917615
PAST SALE,October-4-2019,Single Family Residential,25029 SE 146 St,Issaquah,WA,98027,703000,4,2.5,Mirrormont,3080,39150,1978,,228,,Sold,,,https://www.redfin.com/WA/Issaquah/25029-SE-146th-St-98027/home/424918,NWMLS,1470099,N,Y,47.4710504,-122.0063348
PAST SALE,October-4-2019,Single Family Residential,3224 NE Marquette Way,Issaquah,WA,98029,1095000,4,2.5,Issaquah Highlands,3490,4750,2006,,314,76,Sold,,,https://www.redfin.com/WA/Issaquah/3224-NE-Marquette-Way-98029/home/2068420,NWMLS,1449338,N,Y,47.5544574,-121.9925046
PAST SALE,October-7-2019,Single Family Residential,1954 14th Ct NE,Issaquah,WA,98029,750000,3,2.5,Issaquah Highlands,2080,3728,2000,,361,366,Sold,,,https://www.redfin.com/WA/Issaquah/1954-14th-Ct-NE-98029/home/467803,NWMLS,1507685,N,Y,47.548383,-122.011846
PAST SALE,October-8-2019,Single Family Residential,13617 251st Ave SE,Issaquah,WA,98027,775000,4,2.5,Tiger Mountain,2620,107593,1990,,296,,Sold,,,https://www.redfin.com/WA/Issaquah/13617-251st-Ave-SE-98027/home/424592,NWMLS,1493553,N,Y,47.4797254,-122.0060669
PAST SALE,October-9-2019,Single Family Residential,813 Summerhill Ridge Dr NW,Issaquah,WA,98027,1065000,4,4.0,Talus,4510,5750,2006,,236,87,Sold,,,https://www.redfin.com/WA/Issaquah/813-Summerhill-Ridge-Dr-NW-98027/home/12303059,NWMLS,1520999,N,Y,47.5398966,-122.073397
PAST SALE,October-9-2019,Single Family Residential,842 Big Tree Dr NW,Issaquah,WA,98027,995000,5,3.5,Issaquah,3480,4500,2003,,286,80,Sold,,,https://www.redfin.com/WA/Issaquah/842-Big-Tree-Dr-NW-98027/home/419535,NWMLS,1490717,N,Y,47.5395291,-122.0686264
PAST SALE,October-10-2019,Single Family Residential,1488 14th Pl NE,Issaquah,WA,98029,1100000,4,3.0,Issaquah Highlands,2890,3913,2015,,381,78,Sold,,,https://www.redfin.com/WA/Issaquah/1488-14th-Pl-NE-98029/home/69356659,NWMLS,1511380,N,Y,47.5411828,-122.0103494
PAST SALE,October-10-2019,Single Family Residential,10716 Upper Preston Rd SE,Issaquah,WA,98027,1050000,5,4.0,Upper Preston,5180,217800,2018,,203,,Sold,,,https://www.redfin.com/WA/Issaquah/10716-Upper-Preston-Rd-SE-98027/home/22672125,NWMLS,1510281,N,Y,47.5046278,-121.9022384
PAST SALE,October-11-2019,Single Family Residential,24010 SE 47th Pl,Sammamish,WA,98029,928000,3,2.5,Plateau,2420,8244,1988,,383,26,Sold,,,https://www.redfin.com/WA/Issaquah/24010-SE-47th-Pl-98029/home/438586,NWMLS,1513839,N,Y,47.5594794,-122.0194116
PAST SALE,October-11-2019,Single Family Residential,26916 SE 162nd Pl,Issaquah,WA,98027,615000,3,2.5,Tiger Mountain,1730,43034,1980,,355,,Sold,,,https://www.redfin.com/WA/Issaquah/26916-SE-162nd-Pl-98027/home/424560,NWMLS,1508024,N,Y,47.456219,-121.9803323
