SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-30-2021,Single Family Residential,5709 125th Ln NE,Kirkland,WA,98033,2400000,4,3.0,Bridle Trails,3040,26000,1993,,789,42,Sold,,,https://www.redfin.com/WA/Kirkland/5709-125th-Ln-NE-98033/home/431155,NWMLS,1839845,N,Y,47.6583115,-122.1742421
PAST SALE,November-30-2021,Single Family Residential,11920 NE 153rd Pl,Kirkland,WA,98034,820000,4,3.0,Queensgate,2750,7797,1969,,298,,Sold,,,https://www.redfin.com/WA/Kirkland/11920-NE-153rd-Pl-98034/home/456044,NWMLS,1853369,N,Y,47.7387563,-122.1810907
PAST SALE,November-30-2021,Single Family Residential,12504 NE 134th Pl,Kirkland,WA,98034,1080000,4,3.0,Kingsgate,1810,8050,1977,,597,,Sold,,,https://www.redfin.com/WA/Kirkland/12504-NE-134th-Pl-98034/home/453200,NWMLS,1865238,N,Y,47.7211199,-122.1736255
PAST SALE,November-30-2021,Single Family Residential,11321 NE 149th St,Kirkland,WA,98034,1050000,4,3.0,Juanita,2120,7344,1976,,495,,Sold,,,https://www.redfin.com/WA/Kirkland/11321-NE-149th-St-98034/home/458533,NWMLS,1856054,N,Y,47.7360526,-122.1901324
PAST SALE,November-30-2021,Single Family Residential,1544 3rd St,Kirkland,WA,98033,1355100,3,1.0,East Of Market,1000,6050,1958,,1355,,Sold,,,https://www.redfin.com/WA/Kirkland/1544-3rd-St-98033/home/462762,NWMLS,1854675,N,Y,47.6885549,-122.2042628
PAST SALE,November-30-2021,Single Family Residential,13209 128th Ave NE,Kirkland,WA,98034,2200000,5,4.0,Totem Lake,3538,7983,2021,,622,,Sold,,,https://www.redfin.com/WA/Kirkland/13209-128th-Ave-NE-98034/home/177424461,NWMLS,1868859,N,Y,47.7186095,-122.169819
PAST SALE,November-30-2021,Single Family Residential,14259 130th Pl NE,Kirkland,WA,98034,1219000,4,2.5,Kingsgate,1920,7000,1972,,635,40,Sold,,,https://www.redfin.com/WA/Kirkland/14259-130th-Pl-NE-98034/home/455020,NWMLS,1842973,Y,Y,47.729731,-122.1667914
PAST SALE,November-30-2021,Single Family Residential,8112 NE 121st St,Kirkland,WA,98034,1275500,3,3.0,Finn Hill,2420,7070,1977,,527,,Sold,,,https://www.redfin.com/WA/Kirkland/8112-NE-121st-St-98034/home/282130,NWMLS,1859377,N,Y,47.7091458,-122.2331483
PAST SALE,December-1-2021,Single Family Residential,13035 136th Ave,Kirkland,WA,98034,950000,3,2.5,Totem Lake,1820,8582,1999,,522,,Sold,,,https://www.redfin.com/WA/Kirkland/13035-136th-Ave-NE-98034/home/512220,NWMLS,1870218,N,Y,47.7178461,-122.1598545
PAST SALE,,Single Family Residential,10720 123rd Ave NE,Kirkland,WA,98033,880000,3,1.0,,1130,9849,1962,,779,,,,,https://www.redfin.com/WA/Kirkland/10720-123rd-Ave-NE-98033/home/511599,,,N,Y,47.6961638,-122.1768375
