SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-14-2018,Single Family Residential,3345 Sahalee Way NE,Sammamish,WA,98074,799000,3,3.0,Sahalee,2620,12800,1990,,305,105,Sold,,,https://www.redfin.com/WA/Sammamish/3345-Sahalee-Way-NE-98074/home/262439,NWMLS,1364479,N,Y,47.6404173,-122.0546418
PAST SALE,December-17-2018,Single Family Residential,432 209th Pl SE,Sammamish,WA,98074,1020000,5,2.5,Sammamish,3410,6436,2005,,299,42,Sold,,,https://www.redfin.com/WA/Sammamish/432-209th-Pl-SE-98074/home/2115479,NWMLS,1378483,N,Y,47.6045166,-122.0600613
PAST SALE,December-17-2018,Single Family Residential,1620 195th Ave SE,Sammamish,WA,98075,835000,4,2.5,East Lake Sammamish,2250,59677,1978,,371,,Sold,,,https://www.redfin.com/WA/Sammamish/1620-195th-Ave-SE-98075/home/267147,NWMLS,1375342,N,Y,47.5952168,-122.0791886
PAST SALE,December-17-2018,Single Family Residential,25002 NE 8th St,Sammamish,WA,98074,1890000,4,5.5,Plateau,5250,215039,1978,,360,,Sold,,,https://www.redfin.com/WA/Redmond/25002-NE-8th-St-98074/home/265271,NWMLS,1369128,N,Y,47.617122,-122.00418
PAST SALE,December-17-2018,Single Family Residential,27810 SE 26th Way,Sammamish,WA,98075,1311000,5,4.5,Aldarra,5320,15858,2003,,246,,Sold,,,https://www.redfin.com/WA/Sammamish/27810-SE-26th-Way-98075/home/438625,NWMLS,1332838,N,Y,47.585448,-121.9679329
PAST SALE,December-18-2018,Single Family Residential,22436 NE 10th St,Sammamish,WA,98074,795000,3,2.5,Sammamish,1840,11195,1988,,432,5,Sold,,,https://www.redfin.com/WA/Sammamish/22436-NE-10th-St-98074/home/265473,NWMLS,1375994,N,Y,47.6199196,-122.0415586
PAST SALE,December-18-2018,Single Family Residential,1700 224th Ct NE,Sammamish,WA,98074,800000,4,2.5,Sammamish,2690,16540,1990,,297,,Sold,,,https://www.redfin.com/WA/Sammamish/1700-224th-Ct-NE-98074/home/264186,NWMLS,1343434,N,Y,47.624037,-122.040207
PAST SALE,December-18-2018,Single Family Residential,3135 234th Ct SE,Sammamish,WA,98075,900000,4,2.5,Plateau,3150,10326,1991,,286,16,Sold,,,https://www.redfin.com/WA/Sammamish/3135-234th-Ct-SE-98075/home/433950,NWMLS,1375882,N,Y,47.5816602,-122.0286395
PAST SALE,December-19-2018,Single Family Residential,23555 SE 36th Ct,Sammamish,WA,98075,1214059,5,3.0,Sammamish,3059,5102,2018,,397,115,Sold,,,https://www.redfin.com/WA/Sammamish/23555-SE-36th-Ct-98075/home/167326830,NWMLS,1281543,N,Y,47.57534714406401,-122.02411566397919
PAST SALE,December-19-2018,Single Family Residential,19675 SE 24th Way,Sammamish,WA,98075,780000,3,2.5,Sammamish,2320,60112,1977,,336,,Sold,,,https://www.redfin.com/WA/Issaquah/19675-SE-24th-Way-98075/home/268680,NWMLS,1372452,N,Y,47.587829,-122.076841
PAST SALE,December-19-2018,Single Family Residential,24337 NE 27th Pl,Sammamish,WA,98074,1365000,5,4.5,Sammamish,4205,8009,2016,,325,107,Sold,,,https://www.redfin.com/WA/Sammamish/24337-NE-27th-Pl-98074/home/109660525,NWMLS,1386855,N,Y,47.6342715,-122.0157853
