ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
4514 191st Pl NE,https://www.redfin.com/WA/Sammamish/4514-191st-Pl-NE-98074/home/264724,October-31-2018,October-2018,98074,1994,381,409
27508 SE 30th St,https://www.redfin.com/WA/Sammamish/27508-SE-30th-St-98075/home/2066842,October-31-2018,October-2018,98075,2005,269,286
3110 220th Pl SE,https://www.redfin.com/WA/Issaquah/3110-220th-Pl-SE-98075/home/434411,October-31-2018,October-2018,98075,1979,331,374
804 200th Ave SE,https://www.redfin.com/WA/Sammamish/804-200th-Ave-SE-98075/home/143457209,October-31-2018,October-2018,98075,2018,377,381
2215 244th Ave NE,https://www.redfin.com/WA/Sammamish/2215-244th-Ave-NE-98074/home/262422,November-2-2018,November-2018,98074,1968,580,634
3618 254th Ave SE,https://www.redfin.com/WA/Issaquah/3618-254th-Ave-SE-98029/home/437863,November-2-2018,November-2018,98029,1989,415,448
1926 W Beaver Lake Dr SE,https://www.redfin.com/WA/Sammamish/1926-W-Beaver-Lake-Dr-SE-98075/home/433946,November-2-2018,November-2018,98075,1986,633,669
2214 250th Pl SE,https://www.redfin.com/WA/Sammamish/2214-250th-Pl-SE-98075/home/147302158,November-5-2018,November-2018,98075,2004,360,378
20530 NE 24th Pl,https://www.redfin.com/WA/Sammamish/20530-NE-24th-Pl-98074/home/261449,November-5-2018,November-2018,98074,2001,361,382
23435 NE 11th Ct,https://www.redfin.com/WA/Sammamish/23435-NE-11th-Ct-98074/home/28540394,November-5-2018,November-2018,98074,2010,370,382
26642 SE 15th St,https://www.redfin.com/WA/Sammamish/26642-SE-15th-St-98075/home/438990,November-7-2018,November-2018,98075,1998,294,318
21507 NE 8th St,https://www.redfin.com/WA/Sammamish/21507-NE-8th-St-98074/home/268984,November-7-2018,November-2018,98074,1981,340,381
23004 SE 45th Pl,https://www.redfin.com/WA/Sammamish/23004-SE-45th-Pl-98075/home/266863,November-8-2018,November-2018,98075,2002,273,293
509 239th Ave SE,https://www.redfin.com/WA/Sammamish/509-239th-Ave-SE-98074/home/265911,November-8-2018,November-2018,98074,1998,423,447
1925 249th Pl SE,https://www.redfin.com/WA/Sammamish/1925-249th-Pl-SE-98075/home/434372,November-8-2018,November-2018,98075,2003,310,329
571 237th Ave SE,https://www.redfin.com/WA/Sammamish/571-237th-Ave-SE-98074/home/263337,November-9-2018,November-2018,98074,1999,248,271
24526 SE 34th Pl,https://www.redfin.com/WA/Issaquah/24526-SE-34th-Pl-98029/home/438092,November-9-2018,November-2018,98029,1989,337,370
4228 249th Ct SE,https://www.redfin.com/WA/Issaquah/4228-249th-Ct-SE-98029/home/439872,November-9-2018,November-2018,98029,1994,418,446
2405 196th Ave SE,https://www.redfin.com/WA/Sammamish/2405-196th-Ave-SE-98075/home/267471,November-9-2018,November-2018,98075,1995,375,402
23541 SE 36th Ct,https://www.redfin.com/WA/Sammamish/23541-SE-36th-Ct-98075/home/167326832,November-9-2018,November-2018,98075,2018,373,377
3002 253rd Pl SE,https://www.redfin.com/WA/Issaquah/3002-253rd-Pl-SE-98075/home/434705,November-9-2018,November-2018,98075,1978,399,443
21358 NE 9th Pl,https://www.redfin.com/WA/Sammamish/21358-NE-9th-Pl-98074/home/59702862,November-9-2018,November-2018,98074,2015,319,326
21223 SE 35th Way,https://www.redfin.com/WA/Sammamish/21223-SE-35th-Way-98075/home/433672,November-13-2018,November-2018,98075,1992,378,408
20 210th Pl NE,https://www.redfin.com/WA/Sammamish/20-210th-Pl-NE-98074/home/268332,November-13-2018,November-2018,98074,1988,336,370
4120 236th Pl SE,https://www.redfin.com/WA/Sammamish/4120-236th-Pl-SE-98075/home/167326717,November-13-2018,November-2018,98075,2018,375,379
22621 SE 47th Pl,https://www.redfin.com/WA/Sammamish/22621-SE-47th-Pl-98075/home/267183,November-14-2018,November-2018,98075,1988,361,395
511 205th Ave NE,https://www.redfin.com/WA/Sammamish/511-205th-Ave-NE-98074/home/267947,November-14-2018,November-2018,98074,1989,310,343
518 239th Ave NE,https://www.redfin.com/WA/Sammamish/518-239th-Ave-NE-98074/home/264616,November-15-2018,November-2018,98074,1984,331,369
2839 278th Ave SE,https://www.redfin.com/WA/Sammamish/2839-278th-Ave-SE-98075/home/439217,November-15-2018,November-2018,98075,2004,266,284
4969 229th Ave SE Lot 10,https://www.redfin.com/WA/Issaquah/4969-229th-Ave-SE-98029/unit-10/home/139639744,November-16-2018,November-2018,98029,2017,337,342
2683 230th Ave SE,https://www.redfin.com/WA/Sammamish/2683-230th-Ave-SE-98075/home/434962,November-16-2018,November-2018,98075,1998,411,435
3844 206th Pl NE,https://www.redfin.com/WA/Redmond/3844-206th-Pl-NE-98074/home/266055,November-16-2018,November-2018,98074,1984,360,398
2691 230th Ave SE,https://www.redfin.com/WA/Sammamish/2691-230th-Ave-SE-98075/home/434960,November-16-2018,November-2018,98075,1998,347,371
4733 240th Ave SE,https://www.redfin.com/WA/Issaquah/4733-240th-Ave-SE-98029/home/437420,November-19-2018,November-2018,98029,1988,370,404
831 NE 224th Ave NE 6,https://www.redfin.com/WA/Sammamish/831-224th-Ave-NE-98074/unit-6/home/144331749,November-19-2018,November-2018,98074,2017,335,340
24223 NE 7th Pl,https://www.redfin.com/WA/Sammamish/24223-NE-7th-Pl-98074/home/262276,November-19-2018,November-2018,98074,1983,371,410
1645 204th Ave NE,https://www.redfin.com/WA/Sammamish/1645-204th-Ave-NE-98074/home/322512,November-19-2018,November-2018,98074,1994,451,479
1443 247th Ave SE,https://www.redfin.com/WA/Sammamish/1443-247th-Ave-SE-98075/home/434932,November-20-2018,November-2018,98075,1977,550,595
602 234th Pl NE,https://www.redfin.com/WA/Sammamish/602-234th-Pl-NE-98074/home/265969,November-20-2018,November-2018,98074,2000,375,397
24109 SE 21st St,https://www.redfin.com/WA/Sammamish/24109-SE-21st-St-98075/home/435198,November-21-2018,November-2018,98075,2002,342,362
2910 217th Ave SE,https://www.redfin.com/WA/Sammamish/2910-217th-Ave-SE-98075/home/433690,November-21-2018,November-2018,98075,1987,393,428
823 218th Ave NE,https://www.redfin.com/WA/Sammamish/823-218th-Ave-NE-98074/home/22544785,November-26-2018,November-2018,98074,2020,79,81
2717 204th Ave SE,https://www.redfin.com/WA/Sammamish/2717-204th-Ave-SE-98075/home/145553175,November-26-2018,November-2018,98075,2018,446,450
20803 NE 15th Ln,https://www.redfin.com/WA/Sammamish/20803-NE-15th-Ln-98074/home/2076032,November-27-2018,November-2018,98074,2004,457,475
4080 235th Pl SE,https://www.redfin.com/WA/Sammamish/4080-235th-Pl-SE-98075/home/145208922,November-28-2018,November-2018,98075,2018,431,435
3415 216th Pl SE,https://www.redfin.com/WA/Sammamish/3415-216th-Pl-SE-98075/home/434839,November-28-2018,November-2018,98075,1977,400,445
1237 268th Way SE,https://www.redfin.com/WA/Sammamish/1237-268th-Way-SE-98075/home/438784,November-29-2018,November-2018,98075,2000,315,337
