ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
21426 50th Dr SE,https://www.redfin.com/WA/Woodinville/21426-50th-Dr-SE-98072/home/2812589,August-24-2018,August-2018,98072,1988,283,317
15257 127th Pl NE 59,https://www.redfin.com/WA/Woodinville/15257-127th-Pl-NE-98072/unit-59/home/145778464,August-24-2018,August-2018,98072,2018,336,340
16032 197th Ave NE,https://www.redfin.com/WA/Woodinville/16032-197th-Ave-NE-98077/home/269519,August-24-2018,August-2018,98077,1978,312,356
13580 NE 202nd St,https://www.redfin.com/WA/Woodinville/13580-NE-202nd-St-98072/home/12304154,August-24-2018,August-2018,98072,2008,335,349
15207 NE 198th St,https://www.redfin.com/WA/Woodinville/15207-NE-198th-St-98072/home/270985,August-24-2018,August-2018,98072,1987,286,321
14628 Bear Creek Rd NE,https://www.redfin.com/WA/Woodinville/14628-Bear-Creek-Rd-NE-98077/home/11902519,August-24-2018,August-2018,98077,2007,452,467
17111 194th Ave NE,https://www.redfin.com/WA/Woodinville/17111-194th-Ave-NE-98077/home/270510,August-27-2018,August-2018,98077,1981,347,388
18104 NE 197th Pl,https://www.redfin.com/WA/Woodinville/18104-NE-197th-Pl-98077/home/274412,August-27-2018,August-2018,98077,1978,252,296
14129 209th Ave NE,https://www.redfin.com/WA/Woodinville/14129-209th-Ave-NE-98077/home/452232,August-27-2018,August-2018,98077,1996,326,352
18665 151st Ave NE,https://www.redfin.com/WA/Woodinville/18665-151st-Ave-NE-98072/home/448627,August-28-2018,August-2018,98072,2004,322,340
14538 NE 180th St,https://www.redfin.com/WA/Woodinville/14538-NE-180th-St-98072/home/271080,August-29-2018,August-2018,98072,1981,297,338
19522 NE 202nd Pl,https://www.redfin.com/WA/Woodinville/19522-NE-202nd-Pl-98077/home/274276,August-29-2018,August-2018,98077,1990,310,342
14235 160th Ave NE,https://www.redfin.com/WA/Woodinville/14235-160th-Ave-NE-98072/home/449323,August-29-2018,August-2018,98072,1988,341,375
22303 NE 157th St,https://www.redfin.com/WA/Woodinville/22303-NE-157th-St-98077/home/273582,August-29-2018,August-2018,98077,1993,349,378
15105 124th Pl NE 5,https://www.redfin.com/WA/Woodinville/15105-124th-Pl-NE-98072/unit-5/home/145543773,August-31-2018,August-2018,98072,2018,331,335
16513 Mink Rd NE,https://www.redfin.com/WA/Woodinville/16513-Mink-Rd-NE-98077/home/271925,August-31-2018,August-2018,98077,1973,418,467
19210 181st Ave NE,https://www.redfin.com/WA/Woodinville/19210-181st-Ave-NE-98077/home/274404,August-31-2018,August-2018,98077,1976,315,361
15045 NE 185th St,https://www.redfin.com/WA/Woodinville/15045-NE-185th-St-98072/home/449083,August-31-2018,August-2018,98072,2004,307,325
16804 198th Ave NE,https://www.redfin.com/WA/Woodinville/16804-198th-Ave-NE-98077/home/272369,September-3-2018,September-2018,98077,1991,303,334
15112 NE 198th St,https://www.redfin.com/WA/Woodinville/15112-NE-198th-St-98072/home/271123,September-4-2018,September-2018,98072,1986,217,253
17520 185th Ave NE,https://www.redfin.com/WA/Woodinville/17520-185th-Ave-NE-98072/home/270048,September-4-2018,September-2018,98072,1979,345,388
15127 NE 177th Dr,https://www.redfin.com/WA/Woodinville/15127-NE-177th-Dr-98072/home/448014,September-6-2018,September-2018,98072,1988,290,324
13212 NE 184th Pl,https://www.redfin.com/WA/Woodinville/13212-NE-184th-Pl-98072/home/287414,September-6-2018,September-2018,98072,1975,348,395
20125 223rd Ave NE,https://www.redfin.com/WA/Woodinville/20125-223rd-Ave-NE-98077/home/272234,September-7-2018,September-2018,98077,1997,318,343
5015 238th St SE,https://www.redfin.com/WA/Woodinville/5015-238th-St-SE-98072/home/2678098,September-7-2018,September-2018,98072,1971,319,370
23828 51st Ave SE,https://www.redfin.com/WA/Woodinville/23828-51st-Ave-SE-98072/home/2749241,September-7-2018,September-2018,98072,2001,214,235
24313 107th Dr SE,https://www.redfin.com/WA/Woodinville/24313-107th-Dr-SE-98077/home/2800411,September-7-2018,September-2018,98077,1987,322,357
15207 NE 201st St,https://www.redfin.com/WA/Woodinville/15207-NE-201st-St-98072/home/270859,September-7-2018,September-2018,98072,1971,418,469
14430 Bear Creek Rd NE,https://www.redfin.com/WA/Woodinville/14430-Bear-Creek-Rd-NE-98077/home/452040,September-10-2018,September-2018,98077,1986,318,354
18926 203rd Ave NE,https://www.redfin.com/WA/Woodinville/18926-203rd-Ave-NE-98077/home/273660,September-10-2018,September-2018,98077,1994,276,304
23810 75th Ave SE,https://www.redfin.com/WA/Woodinville/23810-75th-Ave-SE-98072/home/2759830,September-10-2018,September-2018,98072,1969,248,301
17843 NE 205th St,https://www.redfin.com/WA/Woodinville/17843-NE-205th-St-98072/home/271624,September-12-2018,September-2018,98072,1996,309,335
17863 149th Ave NE,https://www.redfin.com/WA/Woodinville/17863-149th-Ave-NE-98072/home/271433,September-12-2018,September-2018,98072,1987,255,290
12929 NE 192nd Pl,https://www.redfin.com/WA/Bothell/12929-NE-192nd-Pl-98011/home/59704882,September-13-2018,September-2018,98011,2007,189,204
20729 NE 156th St,https://www.redfin.com/WA/Woodinville/20729-NE-156th-St-98077/home/273376,September-14-2018,September-2018,98077,1987,434,469
12217 NE 165th Pl,https://www.redfin.com/WA/Bothell/12217-NE-165th-Pl-98011/home/455866,September-14-2018,September-2018,98011,1995,389,416
18230 NE 159th St,https://www.redfin.com/WA/Woodinville/18230-NE-159th-St-98072/home/270216,September-17-2018,September-2018,98072,1975,421,468
15421 184th Ct NE,https://www.redfin.com/WA/Woodinville/15421-184th-Ct-NE-98072/home/451610,September-18-2018,September-2018,98072,1984,367,405
18214 NE 179th St,https://www.redfin.com/WA/Woodinville/18214-NE-179th-St-98072/home/270217,September-18-2018,September-2018,98072,1977,257,302
14647 124th Pl NE,https://www.redfin.com/WA/Woodinville/14647-124th-Pl-NE-98072/home/454088,September-19-2018,September-2018,98072,1975,375,422
15010 125th Pl NE 103,https://www.redfin.com/WA/Woodinville/15010-125th-Pl-NE-98072/unit-103/home/146061380,September-19-2018,September-2018,98072,2018,320,324
12301 198th Ave NE,https://www.redfin.com/WA/Woodinville/12301-198th-Ave-NE-98077/home/446257,September-19-2018,September-2018,98077,1996,357,383
16900 NE 166th St,https://www.redfin.com/WA/Woodinville/16900-NE-166th-St-98072/home/449069,September-19-2018,September-2018,98072,1987,364,399
21629 82nd Ave SE,https://www.redfin.com/WA/Woodinville/21629-82nd-Ave-SE-98072/home/11881711,September-20-2018,September-2018,98072,2005,258,275
17220 185th Ave NE,https://www.redfin.com/WA/Woodinville/17220-185th-Ave-NE-98072/home/269876,September-20-2018,September-2018,98072,1974,479,527
16131 NE 169th Pl,https://www.redfin.com/WA/Woodinville/16131-NE-169th-Pl-98072/home/2083296,September-21-2018,September-2018,98072,2006,446,462
16508 171st Pl NE,https://www.redfin.com/WA/Woodinville/16508-171st-Pl-NE-98072/home/448832,September-24-2018,September-2018,98072,1981,335,376
15804 198th Pl NE,https://www.redfin.com/WA/Woodinville/15804-198th-Pl-NE-98077/home/269956,September-25-2018,September-2018,98077,1968,414,468
21407 NE 154th St,https://www.redfin.com/WA/Woodinville/21407-NE-154th-St-98077/home/272150,September-25-2018,September-2018,98077,1977,365,410
15128 126th Ave NE 91,https://www.redfin.com/WA/Woodinville/15128-126th-Ave-NE-98072/unit-91/home/146368321,September-26-2018,September-2018,98072,2018,342,346
15029 127th Ave NE 87,https://www.redfin.com/WA/Woodinville/15029-127th-Ave-NE-98072/unit-87/home/145939240,September-27-2018,September-2018,98072,2018,337,341
15013 126th Ave NE 102,https://www.redfin.com/WA/Woodinville/15013-126th-Ave-NE-98072/unit-102/home/145485994,September-27-2018,September-2018,98072,2018,351,355
15012 125th Pl NE 104,https://www.redfin.com/WA/Woodinville/15012-125th-Pl-NE-98072/unit-104/home/146421869,September-27-2018,September-2018,98072,2018,342,346
21103 50th Dr SE,https://www.redfin.com/WA/Bothell/21103-50th-Dr-SE-98021/home/2799333,September-28-2018,September-2018,98021,1989,340,373
21708 82nd Ave SE,https://www.redfin.com/WA/Woodinville/21708-82nd-Ave-SE-98072/home/11881713,September-28-2018,September-2018,98072,2005,292,309
12709 NE 150th St 25,https://www.redfin.com/WA/Woodinville/12709-NE-150th-St-98072/unit-25/home/145594260,September-28-2018,September-2018,98072,2018,407,411
18117 NE 143rd Pl,https://www.redfin.com/WA/Woodinville/18117-NE-143rd-Pl-98072/home/449524,September-28-2018,September-2018,98072,1986,400,436
12905 NE 201st St,https://www.redfin.com/WA/Woodinville/12905-NE-201st-St-98072/home/145708615,September-28-2018,September-2018,98072,2018,313,317
24125 107th Dr SE,https://www.redfin.com/WA/Woodinville/24125-107th-Dr-SE-98077/home/2800418,September-28-2018,September-2018,98077,1988,296,330
13424 184th Ave NE,https://www.redfin.com/WA/Woodinville/13424-184th-Ave-NE-98072/home/451276,September-28-2018,September-2018,98072,1984,426,464
19503 222nd Ave NE,https://www.redfin.com/WA/Woodinville/19503-222nd-Ave-NE-98077/home/271870,October-3-2018,October-2018,98077,1996,335,361
19235 NE 149th St,https://www.redfin.com/WA/Woodinville/19235-NE-149th-St-98077/home/450203,October-4-2018,October-2018,98077,1992,341,371
19710 166th Ave NE,https://www.redfin.com/WA/Woodinville/19710-166th-Ave-NE-98072/home/271370,October-5-2018,October-2018,98072,2018,444,448
