ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
12412 NE 111th Pl,https://www.redfin.com/WA/Kirkland/12412-NE-111th-Pl-98033/home/513673,April-2-2021,April-2021,98033,1960,528,590
13530 105th Ave NE,https://www.redfin.com/WA/Kirkland/13530-105th-Ave-NE-98034/home/458859,April-2-2021,April-2021,98034,1976,475,521
8215 NE 122nd Pl,https://www.redfin.com/WA/Kirkland/8215-NE-122nd-Pl-98034/home/281985,April-2-2021,April-2021,98034,1977,405,450
9803 NE 140th Pl,https://www.redfin.com/WA/KIRKLAND/9803-NE-140TH-PL-98034/home/278163,April-2-2021,April-2021,98034,1983,407,446
8530 NE 128th St,https://www.redfin.com/WA/Kirkland/8530-NE-128th-St-98034/home/277374,April-5-2021,April-2021,98034,2003,499,518
900 20th Ave W,https://www.redfin.com/WA/Kirkland/900-20th-Ave-W-98033/home/280475,April-5-2021,April-2021,98033,1940,860,942
11717 106th Ave NE,https://www.redfin.com/WA/Kirkland/11717-106th-Ave-NE-98034/home/459005,April-5-2021,April-2021,98034,2006,438,454
12105 95th Pl NE,https://www.redfin.com/WA/Kirkland/12105-95th-Pl-NE-98034/home/282273,April-6-2021,April-2021,98034,1961,524,585
7448 NE 145th Pl,https://www.redfin.com/WA/Kenmore/7448-NE-145th-Pl-98028/home/274627,April-6-2021,April-2021,98028,1961,603,664
12119 NE 66th St,https://www.redfin.com/WA/Kirkland/12119-NE-66th-St-98033/home/517548,April-7-2021,April-2021,98033,1960,629,691
645 18th Ave W,https://www.redfin.com/WA/Kirkland/645-18th-Ave-W-98033/home/462856,April-7-2021,April-2021,98033,1995,689,716
13432 123rd Ave NE,https://www.redfin.com/WA/Kirkland/13432-123rd-Ave-NE-98034/home/452801,April-7-2021,April-2021,98034,1971,371,422
13123 136th Ct NE,https://www.redfin.com/WA/Kirkland/13123-136th-Ct-NE-98034/home/45442082,April-8-2021,April-2021,98034,2013,524,533
11623 NE 155th St,https://www.redfin.com/WA/KIRKLAND/11623-NE-155TH-ST-98034/home/454114,April-8-2021,April-2021,98034,1968,593,647
4531 117th (homesite 29) Dr NE,https://www.redfin.com/WA/Kirkland/4531-117th-homesite-29-DR-NE-98033/home/167143755,April-8-2021,April-2021,98033,2020,565,567
13206 NE 129th Pl,https://www.redfin.com/WA/Kirkland/13206-NE-129th-Pl-98034/home/512266,April-8-2021,April-2021,98034,2015,646,653
14012 81ST Ave NE,https://www.redfin.com/WA/Kirkland/14012-81st-Ave-NE-98034/home/274700,April-9-2021,April-2021,98034,1979,472,515
10606 NE 107th Pl,https://www.redfin.com/WA/Kirkland/10606-NE-107th-Pl-98033/home/464540,April-9-2021,April-2021,98033,1991,643,674
8134 NE 122nd Pl,https://www.redfin.com/WA/Kirkland/8134-NE-122nd-Pl-98034/home/282402,April-9-2021,April-2021,98034,1977,534,579
12849 82nd Ave NE,https://www.redfin.com/WA/Kirkland/12849-82nd-Ave-NE-98034/home/275967,April-9-2021,April-2021,98034,1963,578,637
608 17th Ave,https://www.redfin.com/WA/Kirkland/608-17th-Ave-98033/home/463412,April-9-2021,April-2021,98033,1991,708,739
13025 137th Dr NE,https://www.redfin.com/WA/Kirkland/13025-137th-Dr-NE-98034/home/113179220,April-9-2021,April-2021,98034,2019,543,546
10429 134th Ave NE,https://www.redfin.com/WA/Kirkland/10429-134th-Ave-NE-98033/home/511732,April-9-2021,April-2021,98033,1949,612,685
8439 NE 128th St,https://www.redfin.com/WA/Kirkland/8439-NE-128th-St-98034/home/278854,April-12-2021,April-2021,98034,2003,509,528
11659 104th Ave NE,https://www.redfin.com/WA/Kirkland/11659-104th-Ave-NE-98034/home/456690,April-12-2021,April-2021,98034,1968,379,433
8006 NE 143rd St,https://www.redfin.com/WA/Kirkland/8006-NE-143rd-St-98034/home/274576,April-12-2021,April-2021,98034,1939,684,767
13403 NE 70th St,https://www.redfin.com/WA/Redmond/13403-NE-70th-St-98052/home/514266,April-13-2021,April-2021,98052,1969,596,649
14266 130th Pl NE,https://www.redfin.com/WA/Kirkland/14266-130th-Pl-NE-98034/home/455303,April-13-2021,April-2021,98034,1970,596,648
10231 126th Ave NE,https://www.redfin.com/WA/Kirkland/10231-126th-Ave-NE-98033/home/177192023,April-13-2021,April-2021,98033,1969,571,624
8215 NE 126th Dr,https://www.redfin.com/WA/Kirkland/8215-NE-126th-Dr-98034/home/168847809,April-13-2021,April-2021,98034,2020,614,616
13803 70th Ave NE,https://www.redfin.com/WA/Kirkland/13803-70th-Ave-NE-98034/home/280958,April-13-2021,April-2021,98034,1977,573,618
12316 NE 75th St,https://www.redfin.com/WA/Kirkland/12316-NE-75th-St-98033/home/516991,April-13-2021,April-2021,98033,1975,875,922
10628 106th Pl NE,https://www.redfin.com/WA/Kirkland/10628-106th-Pl-NE-98033/home/174645524,April-14-2021,April-2021,98033,2007,586,601
6135 133rd Ave NE,https://www.redfin.com/WA/Kirkland/6135-133rd-Ave-NE-98033/home/430623,April-14-2021,April-2021,98033,1967,1307,1362
11915 NE 132nd Pl,https://www.redfin.com/WA/Kirkland/11915-NE-132nd-Pl-98034/home/452701,April-14-2021,April-2021,98034,2001,400,421
8613 NE 126th Pl,https://www.redfin.com/WA/Kirkland/8613-NE-126th-Pl-98034/home/277640,April-14-2021,April-2021,98034,1986,599,635
