ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
10837 157th Ave NE,https://www.redfin.com/WA/Redmond/10837-157th-Ave-NE-98052/home/325493,August-7-2020,August-2020,98052,1978,485,529
9117 209th Ave NE,https://www.redfin.com/WA/Redmond/9117-209th-Ave-NE-98053/home/443325,August-7-2020,August-2020,98053,1978,235,279
4911 266th Ave NE,https://www.redfin.com/WA/Redmond/4911-266th-Ave-NE-98053/home/446636,August-10-2020,August-2020,98053,1993,359,388
13018 243rd Pl NE,https://www.redfin.com/WA/Redmond/13018-243rd-Pl-NE-98053/home/12306798,August-10-2020,August-2020,98053,2007,440,455
17930 NE 127th St,https://www.redfin.com/WA/Redmond/17930-NE-127th-St-98052/home/450177,August-10-2020,August-2020,98052,1980,343,385
6134 147th Pl NE,https://www.redfin.com/WA/Redmond/6134-147th-Pl-NE-98052/home/516070,August-10-2020,August-2020,98052,1986,570,606
16732 NE 35th St,https://www.redfin.com/WA/Bellevue/16732-NE-35th-St-98008/home/431776,August-10-2020,August-2020,98008,1988,445,479
10924 156th Ct NE,https://www.redfin.com/WA/Redmond/10924-156th-Ct-NE-98052/home/324153,August-11-2020,August-2020,98052,1977,406,451
21404 NE 60th Pl,https://www.redfin.com/WA/Redmond/21404-NE-60th-Pl-98053/home/444491,August-11-2020,August-2020,98053,1975,483,530
11417 160th Ct NE,https://www.redfin.com/WA/Redmond/11417-160th-Ct-NE-98052/home/325181,August-12-2020,August-2020,98052,2004,445,463
5721 196th Ave NE,https://www.redfin.com/WA/Redmond/5721-196th-Ave-NE-98053/home/444513,August-12-2020,August-2020,98053,1956,375,441
13856 NE 97TH St 15,https://www.redfin.com/WA/Redmond/13856-NE-97TH-ST-98052/unit-15/home/172039328,August-12-2020,August-2020,98052,2020,500,502
2527 183rd Ave NE,https://www.redfin.com/WA/Redmond/2527-183rd-Ave-NE-98052/home/502757,August-12-2020,August-2020,98052,1966,507,563
16113 NE 99th St,https://www.redfin.com/WA/Redmond/16113-NE-99th-St-98052/home/324362,August-13-2020,August-2020,98052,1962,556,616
13853 NE 97TH St 6,https://www.redfin.com/WA/Redmond/13853-NE-97TH-ST-98052/unit-6/home/172039334,August-13-2020,August-2020,98052,2020,463,465
26230 NE 34th St,https://www.redfin.com/WA/Redmond/26230-NE-34th-St-98053/home/446955,August-13-2020,August-2020,98053,1990,350,382
11619 239th Ave NE,https://www.redfin.com/WA/Redmond/11619-239th-Ave-NE-98053/home/444657,August-14-2020,August-2020,98053,2002,351,371
18543 NE 19th Pl,https://www.redfin.com/WA/Bellevue/18543-NE-19th-Pl-98008/home/502921,August-14-2020,August-2020,98008,1974,399,447
7312 232nd Ave NE,https://www.redfin.com/WA/Redmond/7312-232nd-Ave-NE-98053/home/446080,August-14-2020,August-2020,98053,1990,386,418
22025 NE 82nd Pl,https://www.redfin.com/WA/Redmond/22025-NE-82nd-Pl-98053/home/445412,August-14-2020,August-2020,98053,2000,430,452
9306 138th Ct NE,https://www.redfin.com/WA/Redmond/9306-138th-Ct-NE-98052/home/512032,August-14-2020,August-2020,98052,1997,371,396
25129 NE 42nd Pl,https://www.redfin.com/WA/Redmond/25129-NE-42nd-Pl-98053/home/2067163,August-14-2020,August-2020,98053,2005,374,391
16525 NE 47th (Homesite 10) St,https://www.redfin.com/WA/Redmond/16525-NE-47th-St-98052/home/168837941,August-14-2020,August-2020,98052,2020,459,461
10646 134th Ave NE,https://www.redfin.com/WA/Kirkland/10646-134th-Ave-NE-98033/home/511701,August-17-2020,August-2020,98033,1966,550,606
13006 167th Ave NE,https://www.redfin.com/WA/Redmond/13006-167th-Ave-NE-98052/home/449721,August-18-2020,August-2020,98052,1985,321,358
1722 264th Ave NE,https://www.redfin.com/WA/Redmond/1722-264th-Ave-NE-98053/home/2079702,August-18-2020,August-2020,98053,2011,322,333
9155 225th Way NE,https://www.redfin.com/WA/Redmond/9155-225th-Way-NE-98053/home/443992,August-18-2020,August-2020,98053,2003,321,340
22327 NE 101st Pl,https://www.redfin.com/WA/Redmond/22327-NE-101st-Pl-98053/home/445422,August-18-2020,August-2020,98053,2003,383,402
13848 NE 97TH St 16,https://www.redfin.com/WA/Redmond/13848-NE-97TH-ST-98052/unit-16/home/172039326,August-18-2020,August-2020,98052,2020,503,505
3439 E Ames Lake Ln NE,https://www.redfin.com/WA/Redmond/3439-E-Ames-Lake-Ln-NE-98053/home/447497,August-18-2020,August-2020,98053,1984,444,482
27711 NE 49th St,https://www.redfin.com/WA/Redmond/27711-NE-49th-St-98053/home/447461,August-18-2020,August-2020,98053,1980,310,352
6332 204th Dr NE,https://www.redfin.com/WA/Redmond/6332-204th-Dr-NE-98053/home/445544,August-19-2020,August-2020,98053,1990,394,426
17405 NE 139th Pl,https://www.redfin.com/WA/Redmond/17405-NE-139th-Pl-98052/home/450752,August-20-2020,August-2020,98052,1984,507,545
3441 260th Ave NE,https://www.redfin.com/WA/Redmond/3441-260th-Ave-NE-98053/home/447676,August-20-2020,August-2020,98053,1990,281,313
23959 NE 102nd Pl,https://www.redfin.com/WA/Redmond/23959-NE-102nd-Pl-98053/home/40264993,August-20-2020,August-2020,98053,2013,406,415
12045 165th Pl NE,https://www.redfin.com/WA/Redmond/12045-165th-Pl-NE-98052/home/22536817,August-20-2020,August-2020,98052,2010,387,399
24139 NE 43rd St,https://www.redfin.com/WA/Redmond/24139-NE-43rd-St-98053/home/22689777,August-21-2020,August-2020,98053,2008,370,384
3818 3826 172nd Ave NE,https://www.redfin.com/WA/Redmond/3826-172nd-Ave-NE-98052/home/503238,August-21-2020,August-2020,98052,1959,624,687
17717 NE 137th Ct,https://www.redfin.com/WA/Redmond/17717-NE-137th-Ct-98052/home/451226,August-21-2020,August-2020,98052,1983,438,477
