ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
15608 230th Ave SE,https://www.redfin.com/WA/Issaquah/15608-230th-Ave-SE-98027/home/423801,October-5-2021,October-2021,98027,2001,433,454
18505 SE May Valley Rd,https://www.redfin.com/WA/Issaquah/18505-SE-May-Valley-Rd-98027/home/409541,October-5-2021,October-2021,98027,1946,504,580
25022 SE 43rd Way,https://www.redfin.com/WA/Issaquah/25022-SE-43rd-Way-98029/home/437251,October-5-2021,October-2021,98029,1996,655,681
19320 SE May Valley Rd,https://www.redfin.com/WA/Issaquah/19320-SE-May-Valley-Rd-98027/home/420048,October-7-2021,October-2021,98027,1925,496,593
15408 Issaquah Hobart Rd SE,https://www.redfin.com/WA/Issaquah/15408-Issaquah-Hobart-Rd-SE-98027/home/424438,October-7-2021,October-2021,98027,1967,390,445
4610 241st Ave SE,https://www.redfin.com/WA/Issaquah/4610-241st-Ave-SE-98029/home/438497,October-7-2021,October-2021,98029,1987,604,639
2020 30th Ln NE,https://www.redfin.com/WA/Issaquah/2020-30th-Ln-NE-98029/home/466793,October-7-2021,October-2021,98029,2003,609,628
3723 245th Ave SE,https://www.redfin.com/WA/Issaquah/3723-245th-Ave-SE-98029/home/439847,October-8-2021,October-2021,98029,1988,541,575
25559 SE 40th Ct,https://www.redfin.com/WA/Issaquah/25559-SE-40th-Ct-98029/home/437652,October-8-2021,October-2021,98029,1991,466,497
4752 225th Ave SE,https://www.redfin.com/WA/Sammamish/4752-225th-Ave-SE-98075/home/269284,October-12-2021,October-2021,98075,1992,517,547
25900 SE 39th Pl,https://www.redfin.com/WA/Issaquah/25900-SE-39th-Pl-98029/home/438854,October-12-2021,October-2021,98029,1990,588,620
1335 Westridge (Lot 16) Way NE,https://www.redfin.com/WA/Issaquah/1335-Westridge-Way-NE-98027/home/174075378,October-12-2021,October-2021,98029,2021,585,586
20501 SE 130th St,https://www.redfin.com/WA/Issaquah/20501-SE-130th-St-98027/home/419838,October-13-2021,October-2021,98027,1987,446,481
23120 SE Black Nugget Rd Unit Y4,https://www.redfin.com/WA/Issaquah/23120-SE-Black-Nugget-Rd-98029/unit-Y4/home/2119661,October-13-2021,October-2021,98029,2003,489,508
1769 14th Ave NE,https://www.redfin.com/WA/Issaquah/1769-14th-Ave-NE-98029/home/466862,October-13-2021,October-2021,98029,1999,661,684
3613 257th Ave SE,https://www.redfin.com/WA/Issaquah/3613-257th-Ave-SE-98029/home/438224,October-14-2021,October-2021,98029,1993,714,743
2598 NE Park Dr,https://www.redfin.com/WA/Issaquah/2598-NE-Park-Dr-98029/home/12448492,October-14-2021,October-2021,98029,2006,731,747
24125 SE 35th Pl,https://www.redfin.com/WA/Issaquah/24125-SE-35th-Pl-98029/home/440193,October-14-2021,October-2021,98029,1989,637,670
