ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
2602 186th Pl SE,https://www.redfin.com/WA/Bothell/2602-186th-Pl-SE-98012/home/2780744,June-5-2017,June-2017,98012,1979,253,296
15427 110th Ave NE,https://www.redfin.com/WA/Bothell/15427-110th-Ave-NE-98011/home/457699,June-5-2017,June-2017,98011,1976,403,449
19821 35th Dr SE,https://www.redfin.com/WA/Bothell/19821-35th-Dr-SE-98012/home/105199341,June-6-2017,June-2017,98012,2015,261,268
3602 195th Pl SE,https://www.redfin.com/WA/Bothell/3602-195th-Pl-SE-98012/home/54808814,June-6-2017,June-2017,98012,2013,310,319
4318 181st St SE Lot 40,https://www.redfin.com/WA/Bothell/4318-181st-St-SE-98012/unit-40/home/177707259,June-6-2017,June-2017,98012,2017,236,241
16113 40th Dr SE,https://www.redfin.com/WA/Bothell/16113-40th-Dr-SE-98012/home/2914167,June-6-2017,June-2017,98012,2005,254,271
12805 NE 197th Pl,https://www.redfin.com/WA/Bothell/12805-NE-197th-Pl-98011/home/59704985,June-7-2017,June-2017,98011,1983,217,256
105 176th Pl SW 24,https://www.redfin.com/WA/Bothell/105-176th-Pl-SW-98012/unit-24/home/177183700,June-7-2017,June-2017,98012,2017,240,245
1427 231st St SE,https://www.redfin.com/WA/Bothell/1427-231st-St-SE-98021/home/2838080,June-7-2017,June-2017,98021,1995,245,272
19613 92nd Ave NE,https://www.redfin.com/WA/Bothell/19613-92nd-Ave-NE-98011/home/22642673,June-8-2017,June-2017,98011,2017,256,261
21314 41ST Ave SE 23,https://www.redfin.com/WA/Bothell/21314-41st-Ave-SE-98021/unit-23/home/177184068,June-8-2017,June-2017,98021,2016,285,291
15315 101st Pl NE,https://www.redfin.com/WA/Bothell/15315-101st-Pl-NE-98011/home/285190,June-8-2017,June-2017,98011,2000,295,317
22708 4th Ave SE,https://www.redfin.com/WA/Bothell/22708-4th-Ave-SE-98021/home/2769613,June-9-2017,June-2017,98021,1973,312,361
4115 176th Pl SE,https://www.redfin.com/WA/Bothell/4115-176th-Pl-SE-98012/home/54808918,June-9-2017,June-2017,98012,2013,249,258
21816 8th Pl W,https://www.redfin.com/WA/Bothell/21816-8th-Pl-W-98021/home/2785141,June-9-2017,June-2017,98021,1979,270,313
