ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
19206 11th Pl W,https://www.redfin.com/WA/Lynnwood/19206-11th-Pl-W-98036/home/2897839,March-16-2020,March-2020,98036,2004,226,244
21032 22nd Ave W,https://www.redfin.com/WA/Lynnwood/21032-22nd-Ave-W-98036/home/2656822,March-16-2020,March-2020,98036,1962,349,409
20911 55th Ave W 17,https://www.redfin.com/WA/Lynnwood/20911-55th-Ave-W-98036/unit-17/home/177191570,March-16-2020,March-2020,98036,2020,347,349
3522 199th Pl SW,https://www.redfin.com/WA/Lynnwood/3522-199th-Pl-SW-98036/home/2779770,March-18-2020,March-2020,98036,1978,267,311
6308 Park Way,https://www.redfin.com/WA/Lynnwood/6308-Park-Way-98036/home/2730395,March-18-2020,March-2020,98036,1955,395,462
17013 11th Pl W 13,https://www.redfin.com/WA/Lynnwood/17013-11th-Pl-W-98037/unit-13/home/145751204,March-18-2020,March-2020,98037,2017,283,288
1314 218th St SW,https://www.redfin.com/WA/Lynnwood/1314-218th-St-SW-98036/home/2740086,March-18-2020,March-2020,98036,1969,428,481
616 142nd St SW,https://www.redfin.com/WA/Lynnwood/616-142nd-St-SW-98087/home/12488886,March-18-2020,March-2020,98087,2007,220,235
232 150th St SE,https://www.redfin.com/WA/Lynnwood/232-150th-St-SE-98087/home/2914604,March-19-2020,March-2020,98087,2005,255,272
20828 54th Ave W 33,https://www.redfin.com/WA/Lynnwood/20828-54th-Ave-W-98036/unit-33/home/170493637,March-20-2020,March-2020,98036,2020,285,287
113 155th St SE,https://www.redfin.com/WA/Lynnwood/113-155th-St-SE-98087/home/2716624,March-20-2020,March-2020,98087,1965,383,440
19130 56th Ave W,https://www.redfin.com/WA/Lynnwood/19130-56th-Ave-W-98036/home/2831569,March-23-2020,March-2020,98036,1993,324,353
13918 25th Ave W,https://www.redfin.com/WA/Lynnwood/13918-25th-Ave-W-98087/home/11883798,March-23-2020,March-2020,98087,2006,262,278
814 172nd St SW,https://www.redfin.com/WA/Lynnwood/814-172nd-St-SW-98037/home/2824770,March-24-2020,March-2020,98037,1992,261,291
20128 32nd Ave W,https://www.redfin.com/WA/Lynnwood/20128-32nd-Ave-W-98036/home/2643514,March-24-2020,March-2020,98036,1986,445,481
2811 209th St SW,https://www.redfin.com/WA/Lynnwood/2811-209th-St-SW-98036/home/11882338,March-25-2020,March-2020,98036,2006,294,310
16033 2nd Pl W 3,https://www.redfin.com/WA/Lynnwood/16033-2nd-Pl-W-98087/unit-3/home/177008674,March-25-2020,March-2020,98087,2018,296,300
1833 191st St SW,https://www.redfin.com/WA/Lynnwood/1833-191st-St-SW-98036/home/2657006,March-26-2020,March-2020,98036,1963,341,400
1211 144th Pl SW,https://www.redfin.com/WA/Lynnwood/1211-144th-Pl-SW-98087/home/2650757,March-26-2020,March-2020,98087,1967,354,409
21106 7th Ave W,https://www.redfin.com/WA/Bothell/21106-7th-Ave-W-98021/home/2679364,March-26-2020,March-2020,98021,1970,482,534
22 157th St SW,https://www.redfin.com/WA/Lynnwood/22-157th-St-SW-98087/home/83563802,March-27-2020,March-2020,98087,2015,248,255
16033 2nd Pl W 11,https://www.redfin.com/WA/Lynnwood/16033-2nd-Pl-W-98087/unit-11/home/177008676,March-27-2020,March-2020,98087,2018,303,307
20104 7th Ave W,https://www.redfin.com/WA/Lynnwood/20104-7th-Ave-W-98036/home/28558635,March-27-2020,March-2020,98036,2011,239,250
17008 11th Pl W,https://www.redfin.com/WA/Lynnwood/17008-11th-Pl-W-98037/home/145751199,March-27-2020,March-2020,98037,2017,290,295
18229 17th Ave W Unit SPW33,https://www.redfin.com/WA/Lynnwood/18229-17th-Ave-W-98037/home/170195154,March-27-2020,March-2020,98037,2020,269,271
3830 Serene Way,https://www.redfin.com/WA/Lynnwood/3830-Serene-Way-98087/home/2744998,March-31-2020,March-2020,98087,1996,258,284
1904 144th Ln SW,https://www.redfin.com/WA/Lynnwood/1904-144th-Ln-SW-98087/home/70119241,March-31-2020,March-2020,98087,2014,249,257
20907 Damson Rd,https://www.redfin.com/WA/Lynnwood/20907-Damson-Rd-98036/home/2649024,March-31-2020,March-2020,98036,1979,232,275
1425 148th Pl SW,https://www.redfin.com/WA/Lynnwood/1425-148th-Pl-SW-98087/home/2654445,March-31-2020,March-2020,98087,1955,356,423
19529 12th Ave W,https://www.redfin.com/WA/Lynnwood/19529-12th-Ave-W-98036/home/2882280,March-31-2020,March-2020,98036,2001,248,269
